iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,population,gdp_per_capita
NZL,Oceania,New Zealand,4/20/2021,2599,2,26,0,538.962,0.415,0.296,5.392,0,4822233,36085.843
NIC,North America,Nicaragua,4/20/2021,6835,57,181,1,1031.768,8.604,1.229,27.323,0.151,6624554,5321.444
NER,Africa,Niger,4/20/2021,5140,9,191,1,212.338,0.372,0.348,7.89,0.041,24206636,926
NGA,Africa,Nigeria,4/20/2021,164423,120,2061,0,797.629,0.582,0.355,9.998,0,206139587,5338.454
MKD,Europe,North Macedonia,4/20/2021,147995,766,4509,31,71036.009,367.672,331.398,2164.272,14.88,2083380,13111.214
NOR,Europe,Norway,4/20/2021,108342,314,709,0,19984.719,57.92,87.855,130.782,0,5421242,64800.057
OMN,Asia,Oman,4/20/2021,182693,1263,1909,19,35775.705,247.326,233.003,373.828,3.721,5106622,37960.709
PAK,Asia,Pakistan,4/20/2021,772381,5499,16600,147,3496.64,24.894,24.548,75.15,0.665,220892331,5034.708
PSE,Asia,Palestine,4/20/2021,284280,2010,3078,31,55725.704,394.008,322.403,603.362,6.077,5101416,4449.898
PAN,North America,Panama,4/20/2021,361319,275,6192,3,83740.076,63.735,72.773,1435.071,0.695,4314768,22267.037
PNG,Oceania,Papua New Guinea,4/20/2021,9952,0,91,0,1112.325,0,18.059,10.171,0,8947027,3823.194
PRY,South America,Paraguay,4/20/2021,255046,2603,5470,86,35758.139,364.948,298.532,766.909,12.057,7132530,8827.01
PER,South America,Peru,4/20/2021,1719088,11301,57954,417,52138.057,342.747,257.28,1757.681,12.647,32971846,12236.706
PHL,Asia,Philippines,4/20/2021,953106,7361,16141,93,8697.724,67.174,89.07,147.297,0.849,109581085,7599.188
POL,Europe,Poland,4/20/2021,2704571,9244,62734,601,71461.39,244.249,395.284,1657.586,15.88,37846605,27216.445
PRT,Europe,Portugal,4/20/2021,831645,424,16951,5,81560.155,41.582,48.643,1662.399,0.49,10196707,27936.896
QAT,Asia,Qatar,4/20/2021,198361,885,391,5,68850.007,307.179,316.451,135.714,1.735,2881060,116935.6
ROU,Europe,Romania,4/20/2021,1034003,2931,26618,237,53748.835,152.357,160.622,1383.639,12.32,19237682,23313.199
RUS,Europe,Russia,4/20/2021,4665553,8044,104545,372,31970.194,55.121,58.841,716.383,2.549,145934460,24765.954
RWA,Africa,Rwanda,4/20/2021,24005,71,327,1,1853.352,5.482,4.434,25.247,0.077,12952209,1854.211
KNA,North America,Saint Kitts and Nevis,4/20/2021,44,0,,,827.192,0,0,,,53192,24654.385
LCA,North America,Saint Lucia,4/20/2021,4419,0,69,0,24064.826,0,49.79,375.758,0,183629,12951.839
VCT,North America,Saint Vincent and the Grenadines,4/20/2021,1819,0,10,0,16395.216,0,16.739,90.133,0,110947,10727.146
WSM,Oceania,Samoa,4/20/2021,3,0,,,15.12,0,0,,,198410,6021.557
SMR,Europe,San Marino,4/20/2021,5040,10,88,0,148506.099,294.655,231.515,2592.964,0,33938,56861.47
STP,Africa,Sao Tome and Principe,4/20/2021,2283,8,35,0,10416.999,36.503,9.778,159.7,0,219161,3052.714
SAU,Asia,Saudi Arabia,4/20/2021,407010,1070,6846,12,11691.031,30.735,27.83,196.646,0.345,34813867,49045.411
SEN,Africa,Senegal,4/20/2021,39836,15,1095,4,2379.131,0.896,2.909,65.397,0.239,16743930,2470.58
SRB,Europe,Serbia,4/20/2021,667937,2965,6058,32,98159.685,435.735,402.921,890.281,4.703,6804596,14048.881
SYC,Africa,Seychelles,4/20/2021,5012,36,25,0,50966.036,366.077,550.568,254.22,0,98340,26382.287
SLE,Africa,Sierra Leone,4/20/2021,4041,3,79,0,506.582,0.376,0.573,9.903,0,7976985,1390.3
